,Place,Country,Continent,named_entities_spacy_small_plain_unique,named_entities_spacy_small_plain_unique_dict,no_NE_attractions_plain_unique,no_NE_attractions_plain_unique_dict,assignment_NE_notNE,no_NE_attractions_categories_count
18,Guanajuato,mexico,America.,"['the Apertura de la Presa de la Olla', 'UNESCO', 'the Plazuela de los Angeles', 'Callejón del Patrimonio', 'Plaza San Roque', 'the Fiestas de San Juan y Presa de la Olla', 'Juárez', 'Mexico', 'the Callejón del Beso', 'Alhóndiga', 'Festival Internacional Cervantino', 'Guanajuato', 'the Subterráneo Miguel Hidalgo', 'GUANAJUATO', 'the Presa de la Olla', 'Guanajuato Guanajuato’s', 'León']","{'the Apertura de la Presa de la Olla': 1, 'UNESCO': 1, 'the Plazuela de los Angeles': 1, 'Callejón del Patrimonio': 1, 'Plaza San Roque': 1, 'the Fiestas de San Juan y Presa de la Olla': 1, 'Juárez': 2, 'Mexico': 2, 'the Callejón del Beso': 2, 'Alhóndiga': 2, 'Festival Internacional Cervantino': 1, 'Guanajuato': 6, 'the Subterráneo Miguel Hidalgo': 1, 'GUANAJUATO': 1, 'the Presa de la Olla': 1, 'Guanajuato Guanajuato’s': 1, 'León': 1}","['town', 'river', 'city', 'fairground', 'steep', 'building', 'battlefield', 'opening', 'backwater', 'cape', 'narrow', 'queen', 'house', 'theatre', 'approach', 'ravine', 'architecture', 'hill', 'ground', 'riverbed', 'tunnel']","{'town': 1, 'river': 2, 'city': 9, 'fairground': 1, 'steep': 2, 'building': 2, 'battlefield': 1, 'opening': 1, 'backwater': 1, 'cape': 1, 'narrow': 3, 'queen': 1, 'house': 1, 'theatre': 3, 'approach': 1, 'ravine': 1, 'architecture': 1, 'hill': 2, 'ground': 1, 'riverbed': 1, 'tunnel': 2}","[('GUANAJUATO', 'city'), ('Mexico', 'city'), ('UNESCO', 'town'), ('Guanajuato', 'city'), ('Guanajuato', 'tunnel')]","{'animal_attraction': 1, 'architectural_attraction': 7, 'geographic_attraction': 10, 'other_attraction': 3}"
19,Zacatecas,mexico,America.,"['Juárez', 'Guanajuato', 'the Sierra Madre', 'Tirolesa 840', 'Feria de la Primavera', 'Semana Santa', 'the Jardín Independencia', 'Zacatecas', 'the Centro Platero de Zacatecas', 'La Feria', 'Guadalupe', 'The Jerez Spring Festival', 'Hidalgo', 'Jerez', 'La Quemada', 'Cerro de la Bufa Zacatecas', 'the Danzas de los Matlachines', 'Spain', 'Bajío', 'Real de Catorce', 'Zacatecas Zacatecas', 'the Cerro del Grillo', 'the Día de la Virgen de la Soledad', 'La Morisma de Bracho', 'ZACATECAS', 'Alameda', 'Festival Cultural Zacatecas', 'Mina El Edén', 'Mexico', 'Feria Nacional de Zacatecas', 'Festival Zacatecas del Folclor International', 'Quemada', 'the Cerro de la Bufa', 'the Plaza de Armas']","{'Juárez': 1, 'Guanajuato': 1, 'the Sierra Madre': 1, 'Tirolesa 840': 1, 'Feria de la Primavera': 1, 'Semana Santa': 1, 'the Jardín Independencia': 2, 'Zacatecas': 4, 'the Centro Platero de Zacatecas': 1, 'La Feria': 1, 'Guadalupe': 2, 'The Jerez Spring Festival': 1, 'Hidalgo': 1, 'Jerez': 2, 'La Quemada': 1, 'Cerro de la Bufa Zacatecas': 1, 'the Danzas de los Matlachines': 1, 'Spain': 1, 'Bajío': 1, 'Real de Catorce': 1, 'Zacatecas Zacatecas': 1, 'the Cerro del Grillo': 1, 'the Día de la Virgen de la Soledad': 1, 'La Morisma de Bracho': 1, 'ZACATECAS': 1, 'Alameda': 1, 'Festival Cultural Zacatecas': 1, 'Mina El Edén': 1, 'Mexico': 1, 'Feria Nacional de Zacatecas': 1, 'Festival Zacatecas del Folclor International': 1, 'Quemada': 3, 'the Cerro de la Bufa': 3, 'the Plaza de Armas': 1}","['town', 'city', 'ridge', 'giant', 'jaguar', 'junction', 'fiestas', 'tequila', 'mountain', 'building', 'fiesta', 'slope', 'narrow', 'gorge', 'eagle', 'sea', 'architecture', 'hill', 'desert', 'fortress', 'rodeos']","{'town': 4, 'city': 3, 'ridge': 1, 'giant': 1, 'jaguar': 1, 'junction': 1, 'fiestas': 1, 'tequila': 1, 'mountain': 1, 'building': 2, 'fiesta': 2, 'slope': 1, 'narrow': 1, 'gorge': 1, 'eagle': 1, 'sea': 1, 'architecture': 1, 'hill': 1, 'desert': 1, 'fortress': 1, 'rodeos': 1}","[('ZACATECAS', 'architecture'), ('Guanajuato', 'city')]","{'animal_attraction': 3, 'architectural_attraction': 6, 'culinary_attraction': 1, 'entertainment_attraction': 3, 'geographic_attraction': 7, 'other_attraction': 1}"
20,CN Tower,canada,America,"['the Sharp Centre for Design', 'the Canadian Broadcasting Corporation', 'the Eiffel Tower', 'Paris', 'Dubai', 'the Toronto Islands', 'Lake Ontario', '360 The Restaurant', 'the CN Tower', 'Canadian National', 'CBC', 'CN', 'the Sky Pod']","{'the Sharp Centre for Design': 1, 'the Canadian Broadcasting Corporation': 1, 'the Eiffel Tower': 1, 'Paris': 1, 'Dubai': 1, 'the Toronto Islands': 1, 'Lake Ontario': 1, '360 The Restaurant': 1, 'the CN Tower': 3, 'Canadian National': 1, 'CBC': 2, 'CN': 2, 'the Sky Pod': 1}","['city', 'lakeshore', 'giant', 'lunch', 'islands', 'building', 'plain', 'land', 'skyline']","{'city': 5, 'lakeshore': 1, 'giant': 1, 'lunch': 1, 'islands': 1, 'building': 1, 'plain': 1, 'land': 1, 'skyline': 1}","[('the CN Tower', 'city'), ('the Eiffel Tower', 'paris'), ('Paris', 'plain'), ('the CN Tower', 'land')]","{'animal_attraction': 1, 'architectural_attraction': 2, 'culinary_attraction': 1, 'geographic_attraction': 5}"
21,The Falls,canada,America,"['Table Rock House', 'Hornblower Niagara', 'Fallsview Boulevard', 'Niagara’s Fury', 'the Rainbow Bridge', 'the Old Scow', 'Queen Victoria Park', 'the Niagara Parks Commission', 'Maid of the Mistboats', 'the American Falls', 'Falls', 'the White Water Walk', 'Casino Niagara', 'the Horseshoe Falls', 'Table Rock’s', 'the Niagara River', 'Dinosaur Adventure Golf', 'Victoria Avenue', 'Goat Island', 'Clifton Hill', 'Niagara Falls']","{'Table Rock House': 4, 'Hornblower Niagara': 1, 'Fallsview Boulevard': 1, 'Niagara’s Fury': 1, 'the Rainbow Bridge': 1, 'the Old Scow': 1, 'Queen Victoria Park': 1, 'the Niagara Parks Commission': 1, 'Maid of the Mistboats': 1, 'the American Falls': 2, 'Falls': 3, 'the White Water Walk': 1, 'Casino Niagara': 1, 'the Horseshoe Falls': 2, 'Table Rock’s': 1, 'the Niagara River': 1, 'Dinosaur Adventure Golf': 1, 'Victoria Avenue': 1, 'Goat Island': 1, 'Clifton Hill': 5, 'Niagara Falls': 2}","['town', 'frontier', 'parkland', 'fritter', 'slope', 'garden', 'cascade', 'tunnel', 'riverside', 'steep', 'cliff', 'gorge', 'lawn', 'precipice']","{'town': 2, 'frontier': 1, 'parkland': 1, 'fritter': 1, 'slope': 1, 'garden': 1, 'cascade': 1, 'tunnel': 1, 'riverside': 3, 'steep': 1, 'cliff': 1, 'gorge': 1, 'lawn': 1, 'precipice': 2}","[('Goat Island', 'island'), ('the American Falls', 'river'), ('the Horseshoe Falls', 'river'), ('Falls', 'precipice'), ('the Niagara Parks Commission', 'niagara'), ('Table Rock House', 'house')]","{'architectural_attraction': 2, 'culinary_attraction': 1, 'geographic_attraction': 8, 'other_attraction': 3}"
22,Yoho National Park,canada,America,"['Field’s', 'Calgary', 'Yellowhead', 'the East Circuit', 'the Yoho Pass', 'Jasper', 'the Opabin Plateau', 'Skyline', 'The Odaray Plateau Trail', 'Whaleback', 'the Spiral Tunnels', 'Great Divide', 'YOHO NATIONAL PARK’s', 'Point Lace Falls', 'Wapta Falls', 'the Trans-Canada Highway', 'Hamilton Falls', 'Linda Lake', 'Yoho National Park', 'Kicking Horse Park', 'Lake McArthur', 'the Yukness Ledge', 'Takakkaw Falls', 'Kiwetinok Pass–', 'Golden', 'Opabin Lake', 'The Emerald Lake Road', 'the Yoho Valley', 'Lake Oesa', 'the Emerald Glacier', 'Ross Lake', 'Iceline–Little', 'the Yoho Valley Road', 'Oesa', 'Wapta Lake', 'Paget Lookout', 'the Daly Glacier', 'the East Circuit Trail', 'Sherbrooke Lake', 'Opabin', 'the Canadian Pacific Railway', 'the Iceline–Whaleback–Twin Falls Trail', 'Yoho Valley', 'Trans-Canada', 'the Rockwall Trail', 'the Kicking Horse Valley', 'Canada', 'The Iceline', 'Emerald Lake Lodge', 'the Continental Divide', 'Big Hill', 'the Duchesnay Basin', 'the Wiwaxy Gap', 'Emerald Lake', 'Kootenay', 'the high-level Alpine Circuit', 'Little Yoho Valley', 'the Twin Falls Trail', 'the Great Divide', 'Highway', 'Lake Celeste', 'Hoodoo Creek', 'the Hoodoo Creek Campground', 'Laughing Falls', 'Kicking Horse Pass', 'Field', 'Whaleback Trail', 'Iceline', 'the Hamilton Lake Trail', 'the Kiwetinok Pass', 'Twin Falls', 'the Alpine Circuit', 'Hwy-1', 'the Opabin Plateau Trail', 'the Lake Oesa Trail', 'the Lake O’Hara Lodge', 'the Takakkaw Falls Campground', 'Trans', 'US', 'the Odaray Plateau', 'the Kicking Horse Pass', 'Kicking Horse', 'Schaffer', 'The Trans-Canada', 'Emerald Lake Road', 'the Whiskey Jack Hostel', 'Yoho', 'the Lake McArthur Trail', 'Lake O’Hara', 'Canadian Pacific Railway', 'Mount Robson Provincial Park', 'the Kicking Horse River', 'Rockies', 'Lake Louise', 'Rocky Mountain', 'The Canadian Pacific’s', 'the Laughing Falls', 'The Trans-Canada Hwy', 'BC', 'the Little Yoho Valley', 'Emerald Basin', 'Cathedral Platform Prospect', 'Cathedral Basin', 'Mount Stephen', 'the Burgess Pass', 'Spiral Tunnels']","{'Field’s': 1, 'Calgary': 1, 'Yellowhead': 1, 'the East Circuit': 1, 'the Yoho Pass': 1, 'Jasper': 1, 'the Opabin Plateau': 1, 'Skyline': 1, 'The Odaray Plateau Trail': 1, 'Whaleback': 3, 'the Spiral Tunnels': 1, 'Great Divide': 1, 'YOHO NATIONAL PARK’s': 1, 'Point Lace Falls': 1, 'Wapta Falls': 1, 'the Trans-Canada Highway': 1, 'Hamilton Falls': 1, 'Linda Lake': 1, 'Yoho National Park': 1, 'Kicking Horse Park': 1, 'Lake McArthur': 1, 'the Yukness Ledge': 1, 'Takakkaw Falls': 6, 'Kiwetinok Pass–': 1, 'Golden': 1, 'Opabin Lake': 2, 'The Emerald Lake Road': 1, 'the Yoho Valley': 3, 'Lake Oesa': 2, 'the Emerald Glacier': 1, 'Ross Lake': 1, 'Iceline–Little': 1, 'the Yoho Valley Road': 2, 'Oesa': 2, 'Wapta Lake': 1, 'Paget Lookout': 1, 'the Daly Glacier': 1, 'the East Circuit Trail': 1, 'Sherbrooke Lake': 1, 'Opabin': 1, 'the Canadian Pacific Railway': 1, 'the Iceline–Whaleback–Twin Falls Trail': 1, 'Yoho Valley': 2, 'Trans-Canada': 1, 'the Rockwall Trail': 1, 'the Kicking Horse Valley': 1, 'Canada': 2, 'The Iceline': 1, 'Emerald Lake Lodge': 1, 'the Continental Divide': 1, 'Big Hill': 2, 'the Duchesnay Basin': 1, 'the Wiwaxy Gap': 1, 'Emerald Lake': 5, 'Kootenay': 1, 'the high-level Alpine Circuit': 1, 'Little Yoho Valley': 1, 'the Twin Falls Trail': 1, 'the Great Divide': 1, 'Highway': 1, 'Lake Celeste': 1, 'Hoodoo Creek': 1, 'the Hoodoo Creek Campground': 1, 'Laughing Falls': 1, 'Kicking Horse Pass': 1, 'Field': 10, 'Whaleback Trail': 1, 'Iceline': 1, 'the Hamilton Lake Trail': 1, 'the Kiwetinok Pass': 1, 'Twin Falls': 1, 'the Alpine Circuit': 1, 'Hwy-1': 1, 'the Opabin Plateau Trail': 1, 'the Lake Oesa Trail': 1, 'the Lake O’Hara Lodge': 1, 'the Takakkaw Falls Campground': 1, 'Trans': 1, 'US': 2, 'the Odaray Plateau': 1, 'the Kicking Horse Pass': 1, 'Kicking Horse': 1, 'Schaffer': 1, 'The Trans-Canada': 1, 'Emerald Lake Road': 1, 'the Whiskey Jack Hostel': 1, 'Yoho': 6, 'the Lake McArthur Trail': 1, 'Lake O’Hara': 7, 'Canadian Pacific Railway': 1, 'Mount Robson Provincial Park': 1, 'the Kicking Horse River': 1, 'Rockies': 3, 'Lake Louise': 3, 'Rocky Mountain': 1, 'The Canadian Pacific’s': 1, 'the Laughing Falls': 1, 'The Trans-Canada Hwy': 1, 'BC': 1, 'the Little Yoho Valley': 1, 'Emerald Basin': 1, 'Cathedral Platform Prospect': 1, 'Cathedral Basin': 1, 'Mount Stephen': 1, 'the Burgess Pass': 1, 'Spiral Tunnels': 1}","['town', 'plunge', 'zone', 'steep', 'grizzly', 'opening', 'waterfall', 'climb', 'narrow', 'hotel', 'tract', 'meadow', 'prairie', 'campgrounds', 'rat', 'animal', 'lakeshore', 'forest', 'canyon', 'bridge', 'viewpoint', 'ascent']","{'town': 1, 'plunge': 1, 'zone': 1, 'steep': 2, 'grizzly': 1, 'opening': 1, 'waterfall': 4, 'climb': 5, 'narrow': 1, 'hotel': 1, 'tract': 1, 'meadow': 1, 'prairie': 1, 'campgrounds': 1, 'rat': 2, 'animal': 1, 'lakeshore': 1, 'forest': 2, 'canyon': 1, 'bridge': 1, 'viewpoint': 2, 'ascent': 15}","[('BC', 'lake')]","{'animal_attraction': 3, 'architectural_attraction': 4, 'entertainment_attraction': 1, 'geographic_attraction': 9, 'other_attraction': 5}"
23,Jasper National Park,canada,America,"['Skyline Trail', 'Brazeau', 'Connaught Drive', 'Jasper Forest Park', 'The Jasper Home Accommodation Association', 'Yoho', 'Jonas Pass', 'Maligne Canyon', 'Old Fire Point', 'Yellowhead Hwy', 'Jasper Lake', 'Maccarib Pass', 'Banff', 'Jasper', 'the Grand Trunk Pacific Railway', 'Jasper National Park', 'Jasper House', 'Rockies', 'Hwy-16', 'the Tonquin Valley', 'Tonquin Valley', 'North America', 'Skyline', 'the Icefields Parkway', 'Nigel', 'the Fryat Valley', 'the North West Company', 'Edmonton', 'Maligne Pass', 'Henry House', 'the Athabasca Pass', 'Icefields Parkway', 'Maligne Lake', 'Poboktan', 'Miette Hot Springs', 'the Columbia Icefield', 'The Canadian Pacific', 'JASPER NATIONAL PARK', 'Cavell Meadows', 'Sulphur Skyline', 'Kootenay', 'Opal Hills', 'North and South Boundary']","{'Skyline Trail': 1, 'Brazeau': 1, 'Connaught Drive': 1, 'Jasper Forest Park': 1, 'The Jasper Home Accommodation Association': 1, 'Yoho': 2, 'Jonas Pass': 1, 'Maligne Canyon': 2, 'Old Fire Point': 1, 'Yellowhead Hwy': 1, 'Jasper Lake': 1, 'Maccarib Pass': 1, 'Banff': 5, 'Jasper': 14, 'the Grand Trunk Pacific Railway': 1, 'Jasper National Park': 1, 'Jasper House': 1, 'Rockies': 3, 'Hwy-16': 1, 'the Tonquin Valley': 1, 'Tonquin Valley': 1, 'North America': 1, 'Skyline': 1, 'the Icefields Parkway': 2, 'Nigel': 1, 'the Fryat Valley': 1, 'the North West Company': 1, 'Edmonton': 1, 'Maligne Pass': 1, 'Henry House': 1, 'the Athabasca Pass': 1, 'Icefields Parkway': 2, 'Maligne Lake': 5, 'Poboktan': 1, 'Miette Hot Springs': 1, 'the Columbia Icefield': 1, 'The Canadian Pacific': 1, 'JASPER NATIONAL PARK': 1, 'Cavell Meadows': 1, 'Sulphur Skyline': 1, 'Kootenay': 1, 'Opal Hills': 1, 'North and South Boundary': 1}","['bear', 'town', 'campground', 'river', 'zone', 'rough', 'waterfall', 'wilderness', 'entertainment', 'theatre', 'cliff', 'glacier', 'motel', 'hostel', 'resort', 'hinterland', 'lakeshore', 'homestead', 'nightlife', 'office']","{'bear': 1, 'town': 6, 'campground': 7, 'river': 1, 'zone': 1, 'rough': 1, 'waterfall': 1, 'wilderness': 1, 'entertainment': 1, 'theatre': 1, 'cliff': 1, 'glacier': 1, 'motel': 1, 'hostel': 2, 'resort': 1, 'hinterland': 1, 'lakeshore': 1, 'homestead': 1, 'nightlife': 1, 'office': 3}","[('Rockies', 'park'), ('Banff', 'park'), ('JASPER NATIONAL PARK', 'resort'), ('Banff', 'lake'), ('Yoho', 'pacific')]","{'animal_attraction': 1, 'architectural_attraction': 6, 'entertainment_attraction': 3, 'geographic_attraction': 8, 'other_attraction': 2}"
24,Yaletown,canada,America,"['SkyTrain', 'Canadian Pacific Railway', 'Stanley Park', 'Seawall', 'Drake Street', 'North America’s', 'False Creek', 'BC', 'Mainland', 'Yaletown-Roundhouse', 'Yale', 'Homer, Hamilton', 'Yaletown', 'Smithe Street', 'Downtown']","{'SkyTrain': 1, 'Canadian Pacific Railway': 1, 'Stanley Park': 1, 'Seawall': 1, 'Drake Street': 1, 'North America’s': 1, 'False Creek': 1, 'BC': 1, 'Mainland': 1, 'Yaletown-Roundhouse': 1, 'Yale': 1, 'Homer, Hamilton': 1, 'Yaletown': 1, 'Smithe Street': 1, 'Downtown': 2}","['town', 'narrow', 'shore', 'restaurant', 'shop']","{'town': 1, 'narrow': 1, 'shore': 1, 'restaurant': 2, 'shop': 1}","[('Yaletown', 'mainland')]","{'architectural_attraction': 2, 'entertainment_attraction': 1, 'geographic_attraction': 2}"
25,Basilique-Cathédrale Marie-Reine-du-Monde,canada,America,"['the Chapelle des Souvenirs', 'St Peter’s', 'the Basilique-Cathédrale Marie-Reine-du-Monde', 'Dominion of Canada', 'Rome']","{'the Chapelle des Souvenirs': 1, 'St Peter’s': 3, 'the Basilique-Cathédrale Marie-Reine-du-Monde': 1, 'Dominion of Canada': 1, 'Rome': 1}",['city'],{'city': 1},"[('the Basilique-Cathédrale Marie-Reine-du-Monde', 'city'), ('Dominion of Canada', 'canada'), ('St Peter’s', 'rome')]",{'architectural_attraction': 1}
26,Waterton Lakes National Park,canada,America,"['Goat Haunt', 'Waterton Village', 'Calgary', 'the Belly River', 'Glacier National Park', 'Cameron Creek', 'Bertha', 'Banff', 'Belly River Campground', 'Akamina Parkway', 'the Rocky Mountain Development Company', 'Jasper', 'the Canadian Rockies', 'National Park', 'Alberta', 'Waterton', 'the Great Northern Railway', 'Ireland', 'Waterton village', 'Goat', 'Rockies', 'Eton', 'Crypt Lake', 'the Wishbone Trail', 'Red Rock Parkway', 'Waterton Lake', 'WATERTON LAKES NATIONAL PARK', 'Lower Waterton', 'the Red Rock Canyon Parkway', 'the Waterton Lakeshore Trail', 'the Tamarack Trail', 'Waterton Lakes', 'Maskinonge Lake', 'Cameron Lake', 'UNESCO', 'BC', 'Canadian Rockies', 'Prince of Wales Hotel', 'Pony Express', 'the Lewis Thrust', 'prairies', 'the British Army', 'the Blakison Valley', 'Banff National Park', 'Maskinonge', 'the US Army', 'Montana', 'Crypt', 'Canada', 'India', 'US', 'Linnet Lake', 'San Francisco', 'the Akamina Parkway', 'Chief Mountain Hwy', 'Blakison Valley', 'Wild West', 'Hwy-5']","{'Goat Haunt': 2, 'Waterton Village': 1, 'Calgary': 1, 'the Belly River': 1, 'Glacier National Park': 2, 'Cameron Creek': 1, 'Bertha': 1, 'Banff': 1, 'Belly River Campground': 1, 'Akamina Parkway': 1, 'the Rocky Mountain Development Company': 1, 'Jasper': 2, 'the Canadian Rockies': 1, 'National Park': 1, 'Alberta': 2, 'Waterton': 10, 'the Great Northern Railway': 1, 'Ireland': 1, 'Waterton village': 1, 'Goat': 1, 'Rockies': 2, 'Eton': 1, 'Crypt Lake': 2, 'the Wishbone Trail': 1, 'Red Rock Parkway': 1, 'Waterton Lake': 1, 'WATERTON LAKES NATIONAL PARK': 1, 'Lower Waterton': 1, 'the Red Rock Canyon Parkway': 1, 'the Waterton Lakeshore Trail': 1, 'the Tamarack Trail': 1, 'Waterton Lakes': 2, 'Maskinonge Lake': 2, 'Cameron Lake': 2, 'UNESCO': 1, 'BC': 1, 'Canadian Rockies': 1, 'Prince of Wales Hotel': 1, 'Pony Express': 1, 'the Lewis Thrust': 1, 'prairies': 1, 'the British Army': 1, 'the Blakison Valley': 2, 'Banff National Park': 1, 'Maskinonge': 1, 'the US Army': 1, 'Montana': 2, 'Crypt': 1, 'Canada': 2, 'India': 1, 'US': 2, 'Linnet Lake': 1, 'San Francisco': 1, 'the Akamina Parkway': 1, 'Chief Mountain Hwy': 1, 'Blakison Valley': 1, 'Wild West': 1, 'Hwy-5': 1}","['bear', 'ridge', 'grasslands', 'bighorn', 'elk', 'zone', 'mule', 'grizzly', 'osprey', 'rough', 'fish', 'lakes', 'slope', 'plant', 'copse', 'bison', 'bird', 'cougar', 'produce', 'viewpoint', 'approach', 'forage', 'moose', 'berry', 'sheep', 'ground', 'animal', 'grassland', 'parkland', 'field', 'mountains', 'forest', 'wetland', 'deer', 'bull']","{'bear': 3, 'ridge': 2, 'grasslands': 1, 'bighorn': 1, 'elk': 1, 'zone': 4, 'mule': 1, 'grizzly': 1, 'osprey': 1, 'rough': 1, 'fish': 1, 'lakes': 1, 'slope': 2, 'plant': 3, 'copse': 1, 'bison': 1, 'bird': 2, 'cougar': 1, 'produce': 1, 'viewpoint': 1, 'approach': 1, 'forage': 1, 'moose': 1, 'berry': 1, 'sheep': 1, 'ground': 2, 'animal': 1, 'grassland': 1, 'parkland': 1, 'field': 1, 'mountains': 2, 'forest': 3, 'wetland': 1, 'deer': 2, 'bull': 1}","[('Calgary', 'rockies'), ('Canadian Rockies', 'rockies'), ('WATERTON LAKES NATIONAL PARK', 'lakes'), ('Glacier National Park', 'park'), ('US', 'bull')]","{'animal_attraction': 14, 'architectural_attraction': 2, 'culinary_attraction': 3, 'geographic_attraction': 9, 'other_attraction': 7}"
27,Îles-de-la-Madeleine,canada,America,"['Magdalen Islands', 'the Gaspé Peninsula', 'Îles-de-la-Madeleine', 'the Gulf of St Lawrence', 'the Îles-de-la-Madeleine', 'Île du Havre-aux-Maisons', 'Québec', 'Cap-aux-Meules', 'the Canadian Professional and Amateur Windsurf Championship', 'Île du Cap-aux-Meules', 'the Gulf Stream', 'Prince Edward Island']","{'Magdalen Islands': 1, 'the Gaspé Peninsula': 1, 'Îles-de-la-Madeleine': 1, 'the Gulf of St Lawrence': 1, 'the Îles-de-la-Madeleine': 1, 'Île du Havre-aux-Maisons': 1, 'Québec': 1, 'Cap-aux-Meules': 1, 'the Canadian Professional and Amateur Windsurf Championship': 1, 'Île du Cap-aux-Meules': 1, 'the Gulf Stream': 1, 'Prince Edward Island': 1}","['lagoon', 'fish', 'dive', 'narrow', 'jellyfish', 'cliff', 'beach', 'port', 'draw', 'lobster', 'swim', 'mainland', 'spit', 'sea', 'floe', 'fishery', 'archipelago', 'cave', 'tunnel', 'dune']","{'lagoon': 1, 'fish': 1, 'dive': 1, 'narrow': 1, 'jellyfish': 1, 'cliff': 1, 'beach': 2, 'port': 1, 'draw': 1, 'lobster': 1, 'swim': 1, 'mainland': 1, 'spit': 1, 'sea': 1, 'floe': 1, 'fishery': 1, 'archipelago': 3, 'cave': 1, 'tunnel': 1, 'dune': 1}","[('the Îles-de-la-Madeleine', 'gulf')]","{'animal_attraction': 2, 'architectural_attraction': 1, 'culinary_attraction': 1, 'entertainment_attraction': 2, 'geographic_attraction': 14}"
28,Lake Louise,canada,America,"['the Moraine Lake Road', 'Plain', 'Wenkchemna Pass', 'Yoho', 'Mount Temple', 'Six Glaciers', 'Moraine Lake–Eiffel Lake–Wenkchemna Pass Trail', 'LAKE LOUISE', 'the Bow Valley', 'Lake Agnes Trail', 'the Plain of the Six Glaciers', 'Fairview Mountain', 'Banff', 'Winter sports', 'Boulder Pass', 'Paradise Valley', 'Skoki Lodge', 'the Canadian Rockies', 'The Skoki Valley', 'the Lake Louise Ski Area', 'Banff National Park’s', 'Rockies', 'the Valley of the Ten Peaks', 'Larch Valley', 'Hwy-1.', 'Lake Louise', 'the Banff–Radium Hwy', 'Lake Agnes', 'The Lake Louise Ski Area', 'Saddleback Trail', 'Moraine Lake', 'Consolation Lake', 'Lake Agnes–', 'Taylor Lake', 'Lake Louise Village', 'Saddleback', 'Moraine Lake Road', 'Skoki Valley', 'the Six Glaciers Trail', 'Larch Valley–', 'Fairview', 'Trans', 'Panorama Ridge Trail', 'Horseshoe Meadow', 'Little Beehive', 'The Saddleback Trail', 'Canada', 'Sentinel Pass', 'Lake Annette', 'Eiffel Lake', 'Castle Junction', 'the Six Glaciers', 'Six Glaciers Trail', 'Kootenay', 'Mount Temple’s', 'Lake Louise Drive']","{'the Moraine Lake Road': 1, 'Plain': 1, 'Wenkchemna Pass': 1, 'Yoho': 1, 'Mount Temple': 1, 'Six Glaciers': 1, 'Moraine Lake–Eiffel Lake–Wenkchemna Pass Trail': 2, 'LAKE LOUISE': 1, 'the Bow Valley': 1, 'Lake Agnes Trail': 1, 'the Plain of the Six Glaciers': 1, 'Fairview Mountain': 2, 'Banff': 1, 'Winter sports': 1, 'Boulder Pass': 1, 'Paradise Valley': 4, 'Skoki Lodge': 1, 'the Canadian Rockies': 1, 'The Skoki Valley': 1, 'the Lake Louise Ski Area': 1, 'Banff National Park’s': 1, 'Rockies': 4, 'the Valley of the Ten Peaks': 2, 'Larch Valley': 3, 'Hwy-1.': 1, 'Lake Louise': 6, 'the Banff–Radium Hwy': 1, 'Lake Agnes': 3, 'The Lake Louise Ski Area': 1, 'Saddleback Trail': 1, 'Moraine Lake': 11, 'Consolation Lake': 2, 'Lake Agnes–': 1, 'Taylor Lake': 1, 'Lake Louise Village': 2, 'Saddleback': 2, 'Moraine Lake Road': 1, 'Skoki Valley': 1, 'the Six Glaciers Trail': 1, 'Larch Valley–': 1, 'Fairview': 1, 'Trans': 1, 'Panorama Ridge Trail': 1, 'Horseshoe Meadow': 1, 'Little Beehive': 1, 'The Saddleback Trail': 1, 'Canada': 2, 'Sentinel Pass': 3, 'Lake Annette': 1, 'Eiffel Lake': 2, 'Castle Junction': 1, 'the Six Glaciers': 1, 'Six Glaciers Trail': 1, 'Kootenay': 1, 'Mount Temple’s': 1, 'Lake Louise Drive': 2}","['bear', 'town', 'campground', 'shore', 'steep', 'skiing', 'snack', 'rough', 'climb', 'hotel', 'terrain', 'barren', 'continent', 'teahouse', 'upland', 'downhill', 'campgrounds', 'shop', 'vantage', 'resort', 'chalet', 'lakeshore', 'forest', 'viewpoint', 'ascent']","{'bear': 1, 'town': 1, 'campground': 2, 'shore': 4, 'steep': 1, 'skiing': 2, 'snack': 1, 'rough': 1, 'climb': 6, 'hotel': 4, 'terrain': 1, 'barren': 1, 'continent': 1, 'teahouse': 7, 'upland': 1, 'downhill': 1, 'campgrounds': 1, 'shop': 1, 'vantage': 1, 'resort': 2, 'chalet': 1, 'lakeshore': 1, 'forest': 2, 'viewpoint': 1, 'ascent': 4}","[('Banff National Park’s', 'park'), ('LAKE LOUISE', 'banff'), ('Banff', 'town')]","{'animal_attraction': 1, 'architectural_attraction': 5, 'culinary_attraction': 1, 'entertainment_attraction': 2, 'geographic_attraction': 10, 'other_attraction': 6}"
