,occ_brazil,occ_canada,occ_france,occ_germany,occ_italy,occ_mexico,occ_peru,occ_spain,occ_sweden,occ_usa,occ_count_tokens_overall,freq_brazil,tf_idf_brazil,freq_canada,tf_idf_canada,freq_france,tf_idf_france,freq_germany,tf_idf_germany,freq_italy,tf_idf_italy,freq_mexico,tf_idf_mexico,freq_peru,tf_idf_peru,freq_spain,tf_idf_spain,freq_sweden,tf_idf_sweden,freq_usa,tf_idf_usa
thorough,0,0,2,1,0,0,0,0,2,0,5,0.0,0.0,0.0,0.0,0.00014381246854102252,4.924465101347614e-05,0.0001330671989354624,4.556522698898287e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0002578981302385558,8.831016913532078e-05,0.0,0.0
thoroughfare,0,0,1,1,1,3,0,6,6,0,18,0.0,-0.0,0.0,-0.0,7.190623427051126e-05,-1.537929243870576e-05,0.0001330671989354624,-2.846038854891297e-05,0.00018158707100054475,-3.883781004995115e-05,0.0001622147723586028,-3.4694466304490264e-05,0.0,-0.0,0.0004478948939982084,-9.579567928265795e-05,0.0007736943907156673,-0.00016547761697878607,0.0,-0.0
thoroughly,0,0,0,0,0,2,0,0,1,0,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00010814318157240186,6.1022107758036394e-05,0.0,0.0,0.0,0.0,0.0001289490651192779,7.276227342857029e-05,0.0,0.0
though,33,10,23,39,15,69,5,36,12,8,250,0.00299428364032302,-0.004061887458121388,0.0024838549428713363,-0.003369466774748665,0.0016538433882217589,-0.0022435168218032423,0.005189620758483034,-0.007039966149971882,0.002723806065008171,-0.0036949718272575247,0.003730939764247864,-0.005061196351381695,0.002736726874657909,-0.003712499517005508,0.0026873693639892504,-0.0036455437180126344,0.0015473887814313346,-0.002099106109885977,0.004289544235924933,-0.0058189697523380705
thousand,13,5,6,6,3,26,2,5,9,4,79,0.0011795662825514926,-0.0010099852354340634,0.0012419274714356682,-0.0010633810309640045,0.00043143740562306753,-0.0003694115507868914,0.0007984031936127744,-0.0006836202843370989,0.0005447612130016343,-0.0004664432936983202,0.0014058613604412242,-0.0012037468670616214,0.0010946907498631637,-0.0009373118841075167,0.000373245744998507,-0.00031958584881017335,0.0011605415860735009,-0.0009936956357433845,0.0021447721179624667,-0.0018364276807125287
thread,1,0,1,0,1,0,0,0,1,0,4,9.073586788857636e-05,3.986323326651507e-05,0.0,0.0,7.190623427051126e-05,3.1590759605253664e-05,0.0,0.0,0.00018158707100054475,7.977713706741649e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0001289490651192779,5.665154014574631e-05,0.0,0.0
threat,1,0,0,1,0,0,0,0,0,0,2,9.073586788857636e-05,6.71774511835808e-05,0.0,0.0,0.0,0.0,0.0001330671989354624,9.851798928732452e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
threaten,0,0,1,0,1,4,0,0,0,0,6,0.0,0.0,0.0,0.0,7.190623427051126e-05,1.892870027860656e-05,0.0,0.0,0.00018158707100054475,4.780124110669718e-05,0.00021628636314480372,5.6935532556414274e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
three,20,3,25,15,8,26,8,27,18,2,152,0.001814717357771527,-0.0020695960489729563,0.0007451564828614009,-0.0008498143835965332,0.0017976558567627814,-0.0020501382447446386,0.001996007984031936,-0.002276349107358378,0.001452696568004358,-0.0016567291124554894,0.0014058613604412242,-0.001603315857707918,0.004378762999452655,-0.004993764215814111,0.002015527022991938,-0.002298609612961838,0.0023210831721470018,-0.0026470813991177114,0.0010723860589812334,-0.0012230036491008554
thrill,1,0,3,0,0,2,0,1,0,0,7,9.073586788857636e-05,1.7810964989018076e-05,0.0,0.0,0.00021571870281153377,4.2344426219307156e-05,0.0,0.0,0.0,0.0,0.00010814318157240186,2.1227927451494342e-05,0.0,0.0,7.464914899970141e-05,1.4653228213195596e-05,0.0,0.0,0.0,0.0
thrive,0,0,3,3,0,2,1,3,0,0,12,0.0,-0.0,0.0,-0.0,0.00021571870281153377,-8.151699336175983e-06,0.0003992015968063872,-1.5085253848063792e-05,0.0,-0.0,0.00010814318157240186,-4.086575201622126e-06,0.0005473453749315818,-2.0683394028133443e-05,0.0002239474469991042,-8.462651736951284e-06,0.0,-0.0,0.0,-0.0
