,occ_brazil,occ_canada,occ_france,occ_germany,occ_italy,occ_mexico,occ_peru,occ_spain,occ_sweden,occ_usa,occ_count_tokens_overall,freq_brazil,tf_idf_brazil,freq_canada,tf_idf_canada,freq_france,tf_idf_france,freq_germany,tf_idf_germany,freq_italy,tf_idf_italy,freq_mexico,tf_idf_mexico,freq_peru,tf_idf_peru,freq_spain,tf_idf_spain,freq_sweden,tf_idf_sweden,freq_usa,tf_idf_usa
abandon,2,0,3,1,0,5,1,0,1,0,13,0.00018147173577715272,-1.3165895499249022e-05,0.0,-0.0,0.00021571870281153377,-1.565053580540988e-05,0.0001330671989354624,-9.654114058364834e-06,0.0,-0.0,0.00027035795393100465,-1.9614649926628024e-05,0.0005473453749315818,-3.971027211199329e-05,0.0,-0.0,0.0001289490651192779,-9.35534070259339e-06,0.0,-0.0
abbey,0,0,7,3,0,0,0,0,0,0,10,0.0,0.0,0.0,0.0,0.0005033436398935787,2.0834744812509923e-05,0.0003992015968063872,1.6524026011267494e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ability,1,0,0,0,0,2,0,0,0,0,3,9.073586788857636e-05,5.119965796557141e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00010814318157240186,6.1022107758036394e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
able,3,0,3,0,0,2,0,3,1,0,12,0.00027220760366572906,-1.0286333605680012e-05,0.0,-0.0,0.00021571870281153377,-8.151699336175983e-06,0.0,-0.0,0.0,-0.0,0.00010814318157240186,-4.086575201622126e-06,0.0,-0.0,0.0002239474469991042,-8.462651736951284e-06,0.0001289490651192779,-4.872799598891013e-06,0.0,-0.0
abolish,1,0,0,0,0,1,0,0,0,0,2,9.073586788857636e-05,6.71774511835808e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.407159078620093e-05,4.00325883797039e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
abortion,0,0,0,0,0,1,0,0,0,1,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.407159078620093e-05,4.00325883797039e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0005361930294906167,0.00039697731340173937
abound,1,0,1,0,0,2,0,2,1,0,7,9.073586788857636e-05,1.7810964989018076e-05,0.0,0.0,7.190623427051126e-05,1.4114808739769051e-05,0.0,0.0,0.0,0.0,0.00010814318157240186,2.1227927451494342e-05,0.0,0.0,0.00014929829799940282,2.9306456426391193e-05,0.0001289490651192779,2.53120109792351e-05,0.0,0.0
absence,0,0,2,1,0,1,0,0,0,0,4,0.0,0.0,0.0,0.0,0.00014381246854102252,6.318151921050733e-05,0.0001330671989354624,5.846077096876415e-05,0.0,0.0,5.407159078620093e-05,2.3755417639789263e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
absolute,0,0,0,0,0,1,0,1,0,1,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.407159078620093e-05,3.0511053879018197e-05,0.0,0.0,7.464914899970141e-05,4.21223820870829e-05,0.0,0.0,0.0005361930294906167,0.00030255840774185663
absolutely,1,0,1,0,0,0,0,0,0,1,3,9.073586788857636e-05,5.119965796557141e-05,0.0,0.0,7.190623427051126e-05,4.0574633669271773e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0005361930294906167,0.00030255840774185663
absorb,1,0,0,0,0,7,0,4,2,0,14,9.073586788857636e-05,-9.503252928047637e-06,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0003785011355034065,-3.9642449099172216e-05,0.0,-0.0,0.00029859659599880563,-3.1273619146017615e-05,0.0002578981302385558,-2.7011051068991103e-05,0.0,-0.0
abstract,0,0,4,1,0,2,0,2,0,0,9,0.0,0.0,0.0,0.0,0.00028762493708204504,2.506656380783784e-05,0.0001330671989354624,1.1596829769647397e-05,0.0,0.0,0.00010814318157240186,9.424697276835753e-06,0.0,0.0,0.00014929829799940282,1.3011372905180682e-05,0.0,0.0,0.0,0.0
abundance,0,0,0,0,0,1,1,0,0,0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.407159078620093e-05,4.00325883797039e-05,0.0005473453749315818,0.00040523409386658126,0.0,0.0,0.0,0.0,0.0,0.0
abundant,1,0,0,0,1,2,0,0,0,0,4,9.073586788857636e-05,3.986323326651507e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.00018158707100054475,7.977713706741649e-05,0.00010814318157240186,4.751083527957853e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
abuse,0,0,0,1,1,0,0,1,0,0,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0001330671989354624,7.508601868776613e-05,0.00018158707100054475,0.0001024643963026262,0.0,0.0,0.0,0.0,7.464914899970141e-05,4.21223820870829e-05,0.0,0.0,0.0,0.0
academia,1,0,0,0,0,0,0,1,0,0,2,9.073586788857636e-05,6.71774511835808e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.464914899970141e-05,5.526744472187548e-05,0.0,0.0,0.0,0.0
accent,0,0,1,2,0,0,0,0,0,0,3,0.0,0.0,0.0,0.0,7.190623427051126e-05,4.0574633669271773e-05,0.0002661343978709248,0.00015017203737553226,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
accentuate,0,0,0,0,1,1,0,0,0,0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00018158707100054475,0.00013444029226334554,5.407159078620093e-05,4.00325883797039e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
accept,1,0,3,0,0,3,0,0,0,0,7,9.073586788857636e-05,1.7810964989018076e-05,0.0,0.0,0.00021571870281153377,4.2344426219307156e-05,0.0,0.0,0.0,0.0,0.0001622147723586028,3.1841891177241515e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
access,5,9,8,4,3,8,1,9,4,0,51,0.00045367933944288175,-0.0003022309640412446,0.0022354694485842027,-0.0014892194283302042,0.0005752498741640901,-0.00038321851783401824,0.0005322687957418496,-0.0003545854908528071,0.0005447612130016343,-0.0003629076580387024,0.00043257272628960744,-0.0002881702134485612,0.0005473453749315818,-0.00036462916854937676,0.0006718423409973126,-0.00044756624503265166,0.0005157962604771116,-0.000343611858640728,0.0,-0.0
accessible,8,6,4,1,0,7,0,2,0,0,28,0.0007258869431086109,-0.0002945397667609068,0.0014903129657228018,-0.0006047173564590078,0.00028762493708204504,-0.00011670823216624555,0.0001330671989354624,-5.399405804178232e-05,0.0,-0.0,0.0003785011355034065,-0.00015358264427857464,0.0,-0.0,0.00014929829799940282,-6.058007557240881e-05,0.0,-0.0,0.0,-0.0
accessory,0,0,0,0,0,0,1,1,0,0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0005473453749315818,0.00040523409386658126,7.464914899970141e-05,5.526744472187548e-05,0.0,0.0,0.0,0.0
accident,1,0,1,1,0,5,0,0,1,0,9,9.073586788857636e-05,7.907646830496345e-06,0.0,0.0,7.190623427051126e-05,6.26664095195946e-06,0.0001330671989354624,1.1596829769647397e-05,0.0,0.0,0.00027035795393100465,2.356174319208938e-05,0.0,0.0,0.0,0.0,0.0001289490651192779,1.1237933683932972e-05,0.0,0.0
acclaim,0,0,0,0,0,1,0,0,1,0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.407159078620093e-05,4.00325883797039e-05,0.0,0.0,0.0,0.0,0.0001289490651192779,9.546907665947697e-05,0.0,0.0
accommodate,1,0,0,0,1,2,0,3,0,0,7,9.073586788857636e-05,1.7810964989018076e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.00018158707100054475,3.564456966478449e-05,0.00010814318157240186,2.1227927451494342e-05,0.0,0.0,0.0002239474469991042,4.395968463958679e-05,0.0,0.0,0.0,0.0
accommodation,6,5,4,2,1,6,0,14,1,0,39,0.0005444152073314581,-0.0002992497533081975,0.0012419274714356682,-0.0006826526600450499,0.00028762493708204504,-0.00015809935194312913,0.0002661343978709248,-0.00014628660595296717,0.00018158707100054475,-9.98133143033002e-05,0.0003244295447172056,-0.0001783298113555556,0.0,-0.0,0.0010450880859958196,-0.0005744555767509584,0.0001289490651192779,-7.087968044723072e-05,0.0,-0.0
accompany,4,0,3,1,0,1,0,1,0,0,10,0.00036294347155430543,1.5023204848280584e-05,0.0,0.0,0.00021571870281153377,8.92917634821854e-06,0.0001330671989354624,5.508008670422498e-06,0.0,0.0,5.407159078620093e-05,2.238168333417599e-06,0.0,0.0,7.464914899970141e-05,3.089928721874073e-06,0.0,0.0,0.0,0.0
accord,1,0,2,2,1,2,1,3,1,0,13,9.073586788857636e-05,-6.582947749624511e-06,0.0,-0.0,0.00014381246854102252,-1.043369053693992e-05,0.0002661343978709248,-1.9308228116729667e-05,0.00018158707100054475,-1.3174263146651848e-05,0.00010814318157240186,-7.845859970651209e-06,0.0005473453749315818,-3.971027211199329e-05,0.0002239474469991042,-1.6247536686013378e-05,0.0001289490651192779,-9.35534070259339e-06,0.0,-0.0
accordingly,0,0,1,0,2,0,0,0,0,0,3,0.0,0.0,0.0,0.0,7.190623427051126e-05,4.0574633669271773e-05,0.0,0.0,0.0003631741420010895,0.0002049287926052524,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
account,2,1,2,0,0,1,0,1,2,0,9,0.00018147173577715272,1.581529366099269e-05,0.00024838549428713363,2.1646839473149576e-05,0.00014381246854102252,1.253328190391892e-05,0.0,0.0,0.0,0.0,5.407159078620093e-05,4.712348638417876e-06,0.0,0.0,7.464914899970141e-05,6.505686452590341e-06,0.0002578981302385558,2.2475867367865944e-05,0.0,0.0
accuracy,0,0,0,0,1,1,0,0,0,0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00018158707100054475,0.00013444029226334554,5.407159078620093e-05,4.00325883797039e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
accurate,0,0,1,0,1,0,0,0,0,0,2,0.0,0.0,0.0,0.0,7.190623427051126e-05,5.3236692995918886e-05,0.0,0.0,0.00018158707100054475,0.00013444029226334554,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
accustom,0,0,0,1,0,1,0,0,0,0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0001330671989354624,9.851798928732452e-05,0.0,0.0,5.407159078620093e-05,4.00325883797039e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
achieve,0,0,1,0,0,1,0,0,0,0,2,0.0,0.0,0.0,0.0,7.190623427051126e-05,5.3236692995918886e-05,0.0,0.0,0.0,0.0,5.407159078620093e-05,4.00325883797039e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
achievement,1,0,1,1,0,1,0,0,0,0,4,9.073586788857636e-05,3.986323326651507e-05,0.0,0.0,7.190623427051126e-05,3.1590759605253664e-05,0.0001330671989354624,5.846077096876415e-05,0.0,0.0,5.407159078620093e-05,2.3755417639789263e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
acoustic,0,0,0,1,0,1,0,0,0,0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0001330671989354624,9.851798928732452e-05,0.0,0.0,5.407159078620093e-05,4.00325883797039e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
acquire,0,0,2,1,2,0,0,2,0,0,7,0.0,0.0,0.0,0.0,0.00014381246854102252,2.8229617479538103e-05,0.0001330671989354624,2.6120378595338413e-05,0.0003631741420010895,7.128913932956897e-05,0.0,0.0,0.0,0.0,0.00014929829799940282,2.9306456426391193e-05,0.0,0.0,0.0,0.0
acre,4,0,0,0,0,1,0,0,0,0,5,0.00036294347155430543,0.00012428007651654342,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.407159078620093e-05,1.8515339073332232e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
acropolis,0,0,0,1,0,2,0,0,0,0,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0001330671989354624,7.508601868776613e-05,0.0,0.0,0.00010814318157240186,6.1022107758036394e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
across,11,8,17,6,6,20,3,22,31,6,130,0.00099809454677434,-0.0010705069720202097,0.001987083954297069,-0.002131248220861623,0.0012224059825986914,-0.0013110923521626808,0.0007984031936127744,-0.0008563278779629634,0.0010895224260032686,-0.0011685680048831798,0.0010814318157240186,-0.0011598904154305307,0.0016420361247947454,-0.0017611669411307254,0.0016422812779934308,-0.001761429880357529,0.003997421018697615,-0.00428743658047801,0.0032171581769436996,-0.003450565149003577
act,0,0,2,3,2,10,1,2,1,0,21,0.0,-0.0,0.0,-0.0,0.00014381246854102252,-4.038636795508654e-05,0.0003992015968063872,-0.000112106430968341,0.0003631741420010895,-0.0001019889629837277,0.0005407159078620093,-0.00015184741514853153,0.0005473453749315818,-0.0001537091459089733,0.00014929829799940282,-4.1926934842593945e-05,0.0001289490651192779,-3.621232876540222e-05,0.0,-0.0
action,1,1,1,2,1,3,1,1,0,0,11,9.073586788857636e-05,0.0,0.00024838549428713363,0.0,7.190623427051126e-05,0.0,0.0002661343978709248,0.0,0.00018158707100054475,0.0,0.0001622147723586028,0.0,0.0005473453749315818,0.0,7.464914899970141e-05,0.0,0.0,0.0,0.0,0.0
active,0,0,2,0,2,1,1,0,1,1,8,0.0,0.0,0.0,0.0,0.00014381246854102252,1.9889652429176886e-05,0.0,0.0,0.0003631741420010895,5.022796374297492e-05,5.407159078620093e-05,7.478246899874633e-06,0.0005473453749315818,7.569934218187273e-05,0.0,0.0,0.0001289490651192779,1.7834003632015664e-05,0.0005361930294906167,7.415694271650481e-05
activity,1,3,5,2,1,7,2,2,2,4,29,9.073586788857636e-05,-3.8200282437231745e-05,0.0007451564828614009,-0.00031371483810784727,0.0003595311713525563,-0.00015136453323532433,0.0002661343978709248,-0.00011204399540671484,0.00018158707100054475,-7.644912161625767e-05,0.0003785011355034065,-0.00015935098892533347,0.0010946907498631637,-0.0004608706215005266,0.00014929829799940282,-6.285537664089745e-05,0.0002578981302385558,-0.00010857648297633297,0.0021447721179624667,-0.0009029604562803884
actual,0,0,1,1,0,1,0,0,1,0,4,0.0,0.0,0.0,0.0,7.190623427051126e-05,3.1590759605253664e-05,0.0001330671989354624,5.846077096876415e-05,0.0,0.0,5.407159078620093e-05,2.3755417639789263e-05,0.0,0.0,0.0,0.0,0.0001289490651192779,5.665154014574631e-05,0.0,0.0
actually,5,1,1,0,1,9,1,3,1,0,22,0.00045367933944288175,-0.00013657108958532854,0.00024838549428713363,-7.477148426825166e-05,7.190623427051126e-05,-2.164593339066522e-05,0.0,-0.0,0.00018158707100054475,-5.466315519592903e-05,0.00048664431707580837,-0.00014649453665923167,0.0005473453749315818,-0.00016476737584235424,0.0002239474469991042,-6.74148989991e-05,0.0001289490651192779,-3.881753651373065e-05,0.0,-0.0
ad,0,0,2,2,3,16,1,0,0,0,24,0.0,-0.0,0.0,-0.0,0.00014381246854102252,-4.872633300544776e-05,0.0002661343978709248,-9.017127253582994e-05,0.0005447612130016343,-0.00018457520785548266,0.0008651454525792149,-0.0002931273334516111,0.0005473453749315818,-0.00018545076987048768,0.0,-0.0,0.0,-0.0,0.0,-0.0
adapt,2,0,0,0,0,0,0,0,1,0,3,0.00018147173577715272,0.00010239931593114283,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001289490651192779,7.276227342857029e-05,0.0,0.0
add,2,0,4,4,2,2,0,0,3,1,18,0.00018147173577715272,-3.8813142173138736e-05,0.0,-0.0,0.00028762493708204504,-6.151716975482305e-05,0.0005322687957418496,-0.00011384155419565188,0.0003631741420010895,-7.76756200999023e-05,0.00010814318157240186,-2.312964420299351e-05,0.0,-0.0,0.0,-0.0,0.00038684719535783365,-8.273880848939303e-05,0.0005361930294906167,-0.0001146808686032606
addition,3,1,8,2,0,6,1,4,2,0,27,0.00027220760366572906,-0.00010615309291373622,0.00024838549428713363,-9.686315921529118e-05,0.0005752498741640901,-0.00022433081412282294,0.0002661343978709248,-0.00010378471829694271,0.0,-0.0,0.0003244295447172056,-0.0001265181396130947,0.0005473453749315818,-0.00021344886644814574,0.00029859659599880563,-0.00011644403672760892,0.0002578981302385558,-0.00010057281212140872,0.0,-0.0
additionally,2,0,0,1,0,1,0,0,0,0,4,0.00018147173577715272,7.972646653303015e-05,0.0,0.0,0.0,0.0,0.0001330671989354624,5.846077096876415e-05,0.0,0.0,5.407159078620093e-05,2.3755417639789263e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
address,0,0,5,0,0,0,0,2,0,0,7,0.0,0.0,0.0,0.0,0.0003595311713525563,7.057404369884526e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00014929829799940282,2.9306456426391193e-05,0.0,0.0,0.0,0.0
adenauer,0,0,1,1,0,0,0,0,0,0,2,0.0,0.0,0.0,0.0,7.190623427051126e-05,5.3236692995918886e-05,0.0001330671989354624,9.851798928732452e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
adequate,1,0,1,0,0,1,0,0,0,0,3,9.073586788857636e-05,5.119965796557141e-05,0.0,0.0,7.190623427051126e-05,4.0574633669271773e-05,0.0,0.0,0.0,0.0,5.407159078620093e-05,3.0511053879018197e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
adjacent,0,1,0,4,2,1,0,1,1,1,11,0.0,0.0,0.00024838549428713363,0.0,0.0,0.0,0.0005322687957418496,0.0,0.0003631741420010895,0.0,5.407159078620093e-05,0.0,0.0,0.0,7.464914899970141e-05,0.0,0.0001289490651192779,0.0,0.0005361930294906167,0.0
adjoin,0,0,0,1,0,3,0,1,2,0,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0001330671989354624,2.6120378595338413e-05,0.0,0.0,0.0001622147723586028,3.1841891177241515e-05,0.0,0.0,7.464914899970141e-05,1.4653228213195596e-05,0.0002578981302385558,5.06240219584702e-05,0.0,0.0
adjoining,0,0,0,0,0,1,0,0,0,1,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.407159078620093e-05,4.00325883797039e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0005361930294906167,0.00039697731340173937
administration,0,0,0,3,0,0,0,1,0,0,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0003992015968063872,0.00017538231290629245,0.0,0.0,0.0,0.0,0.0,0.0,7.464914899970141e-05,3.279581172217547e-05,0.0,0.0,0.0,0.0
administrative,1,0,2,0,0,3,0,0,1,0,7,9.073586788857636e-05,1.7810964989018076e-05,0.0,0.0,0.00014381246854102252,2.8229617479538103e-05,0.0,0.0,0.0,0.0,0.0001622147723586028,3.1841891177241515e-05,0.0,0.0,0.0,0.0,0.0001289490651192779,2.53120109792351e-05,0.0,0.0
admire,0,0,4,0,0,2,0,1,1,1,9,0.0,0.0,0.0,0.0,0.00028762493708204504,2.506656380783784e-05,0.0,0.0,0.0,0.0,0.00010814318157240186,9.424697276835753e-06,0.0,0.0,7.464914899970141e-05,6.505686452590341e-06,0.0001289490651192779,1.1237933683932972e-05,0.0005361930294906167,4.672931673935668e-05
admission,1,0,0,0,2,1,0,2,0,0,6,9.073586788857636e-05,2.3885440048505707e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0003631741420010895,9.560248221339436e-05,5.407159078620093e-05,1.4233883139103569e-05,0.0,0.0,0.00014929829799940282,3.930149817476581e-05,0.0,0.0,0.0,0.0
adopt,2,0,0,0,0,2,0,0,0,0,4,0.00018147173577715272,7.972646653303015e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00010814318157240186,4.751083527957853e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
adorn,0,0,1,1,0,2,0,1,2,0,7,0.0,0.0,0.0,0.0,7.190623427051126e-05,1.4114808739769051e-05,0.0001330671989354624,2.6120378595338413e-05,0.0,0.0,0.00010814318157240186,2.1227927451494342e-05,0.0,0.0,7.464914899970141e-05,1.4653228213195596e-05,0.0002578981302385558,5.06240219584702e-05,0.0,0.0
adult,0,0,2,0,0,1,0,0,2,0,5,0.0,0.0,0.0,0.0,0.00014381246854102252,4.924465101347614e-05,0.0,0.0,0.0,0.0,5.407159078620093e-05,1.8515339073332232e-05,0.0,0.0,0.0,0.0,0.0002578981302385558,8.831016913532078e-05,0.0,0.0
advance,4,0,4,1,0,2,0,2,1,0,14,0.00036294347155430543,-3.801301171219055e-05,0.0,-0.0,0.00028762493708204504,-3.012449860358467e-05,0.0001330671989354624,-1.3936839723221955e-05,0.0,-0.0,0.00010814318157240186,-1.132641402833492e-05,0.0,-0.0,0.00014929829799940282,-1.5636809573008807e-05,0.0001289490651192779,-1.3505525534495552e-05,0.0,-0.0
advantage,3,1,1,0,1,0,0,1,0,0,7,0.00027220760366572906,5.343289496705422e-05,0.00024838549428713363,4.8756742460002033e-05,7.190623427051126e-05,1.4114808739769051e-05,0.0,0.0,0.00018158707100054475,3.564456966478449e-05,0.0,0.0,0.0,0.0,7.464914899970141e-05,1.4653228213195596e-05,0.0,0.0,0.0,0.0
adventure,1,2,0,1,0,5,1,4,0,0,14,9.073586788857636e-05,-9.503252928047637e-06,0.0004967709885742673,-5.202948361649925e-05,0.0,-0.0,0.0001330671989354624,-1.3936839723221955e-05,0.0,-0.0,0.00027035795393100465,-2.8316035070837298e-05,0.0005473453749315818,-5.732640969896716e-05,0.00029859659599880563,-3.1273619146017615e-05,0.0,-0.0,0.0,-0.0
adventurer,1,0,0,0,0,0,0,0,0,2,3,9.073586788857636e-05,5.119965796557141e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0010723860589812334,0.0006051168154837133
adventurous,1,0,0,1,0,0,1,2,0,0,5,9.073586788857636e-05,3.1070019129135856e-05,0.0,0.0,0.0,0.0,0.0001330671989354624,4.556522698898287e-05,0.0,0.0,0.0,0.0,0.0005473453749315818,0.00018742347061970787,0.00014929829799940282,5.112312344314815e-05,0.0,0.0,0.0,0.0
advertise,2,0,0,1,1,1,0,0,0,0,5,0.00018147173577715272,6.214003825827171e-05,0.0,0.0,0.0,0.0,0.0001330671989354624,4.556522698898287e-05,0.00018158707100054475,6.217953165465884e-05,5.407159078620093e-05,1.8515339073332232e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
advice,1,2,1,1,0,4,0,0,0,0,9,9.073586788857636e-05,7.907646830496345e-06,0.0004967709885742673,4.329367894629915e-05,7.190623427051126e-05,6.26664095195946e-06,0.0001330671989354624,1.1596829769647397e-05,0.0,0.0,0.00021628636314480372,1.8849394553671505e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
advisable,2,0,0,0,0,1,0,0,0,0,3,0.00018147173577715272,0.00010239931593114283,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.407159078620093e-05,3.0511053879018197e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
advise,2,0,2,0,0,0,0,0,0,0,4,0.00018147173577715272,7.972646653303015e-05,0.0,0.0,0.00014381246854102252,6.318151921050733e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
aerial,1,0,1,0,0,0,0,1,0,0,3,9.073586788857636e-05,5.119965796557141e-05,0.0,0.0,7.190623427051126e-05,4.0574633669271773e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.464914899970141e-05,4.21223820870829e-05,0.0,0.0,0.0,0.0
aesthetic,0,0,1,1,0,1,0,0,1,0,4,0.0,0.0,0.0,0.0,7.190623427051126e-05,3.1590759605253664e-05,0.0001330671989354624,5.846077096876415e-05,0.0,0.0,5.407159078620093e-05,2.3755417639789263e-05,0.0,0.0,0.0,0.0,0.0001289490651192779,5.665154014574631e-05,0.0,0.0
aesthetically,1,0,0,0,0,1,0,1,1,0,4,9.073586788857636e-05,3.986323326651507e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.407159078620093e-05,2.3755417639789263e-05,0.0,0.0,7.464914899970141e-05,3.279581172217547e-05,0.0001289490651192779,5.665154014574631e-05,0.0,0.0
affair,3,1,0,0,1,5,0,2,0,0,12,0.00027220760366572906,-1.0286333605680012e-05,0.00024838549428713363,-9.386130374913015e-06,0.0,-0.0,0.0,-0.0,0.00018158707100054475,-6.861914089231851e-06,0.00027035795393100465,-1.0216438004055316e-05,0.0,-0.0,0.00014929829799940282,-5.64176782463419e-06,0.0,-0.0,0.0,-0.0
affect,2,0,1,0,0,3,0,0,0,0,6,0.00018147173577715272,4.7770880097011414e-05,0.0,0.0,7.190623427051126e-05,1.892870027860656e-05,0.0,0.0,0.0,0.0,0.0001622147723586028,4.27016494173107e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
affiliate,0,0,1,0,1,1,0,0,0,0,3,0.0,0.0,0.0,0.0,7.190623427051126e-05,4.0574633669271773e-05,0.0,0.0,0.00018158707100054475,0.0001024643963026262,5.407159078620093e-05,3.0511053879018197e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
affinity,0,0,1,0,0,0,0,1,0,0,2,0.0,0.0,0.0,0.0,7.190623427051126e-05,5.3236692995918886e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.464914899970141e-05,5.526744472187548e-05,0.0,0.0,0.0,0.0
affluent,1,0,0,2,0,0,0,0,0,0,3,9.073586788857636e-05,5.119965796557141e-05,0.0,0.0,0.0,0.0,0.0002661343978709248,0.00015017203737553226,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
afford,3,0,1,0,0,1,0,2,0,0,7,0.00027220760366572906,5.343289496705422e-05,0.0,0.0,7.190623427051126e-05,1.4114808739769051e-05,0.0,0.0,0.0,0.0,5.407159078620093e-05,1.0613963725747171e-05,0.0,0.0,0.00014929829799940282,2.9306456426391193e-05,0.0,0.0,0.0,0.0
aficionado,1,0,1,0,0,0,0,0,0,0,2,9.073586788857636e-05,6.71774511835808e-05,0.0,0.0,7.190623427051126e-05,5.3236692995918886e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
afield,2,0,1,0,0,0,0,0,0,0,3,0.00018147173577715272,0.00010239931593114283,0.0,0.0,7.190623427051126e-05,4.0574633669271773e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
africa,1,0,0,0,0,1,0,0,0,1,3,9.073586788857636e-05,5.119965796557141e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.407159078620093e-05,3.0511053879018197e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0005361930294906167,0.00030255840774185663
african,3,0,1,0,0,3,1,0,0,1,9,0.00027220760366572906,2.372294049148903e-05,0.0,0.0,7.190623427051126e-05,6.26664095195946e-06,0.0,0.0,0.0,0.0,0.0001622147723586028,1.4137045915253628e-05,0.0005473453749315818,4.770124560421467e-05,0.0,0.0,0.0,0.0,0.0005361930294906167,4.672931673935668e-05
